video_name,frame_idx,active_side,elbow_angle,hip_angle,knee_angle,hip_deviation,label,error_type
Copy of push up 116.mp4,47,right,175.01,147.02,160.08,-0.0361,1,benar
Copy of push up 116.mp4,48,right,174.94,146.41,159.74,-0.0368,1,benar
Copy of push up 116.mp4,49,right,174.93,146.64,160.24,-0.0368,1,benar
Copy of push up 116.mp4,50,right,174.92,146.35,159.86,-0.0369,1,benar
Copy of push up 116.mp4,51,right,174.95,146.55,160.06,-0.0368,1,benar
Copy of push up 116.mp4,52,right,174.94,146.48,159.87,-0.0366,1,benar
Copy of push up 116.mp4,53,right,174.92,146.51,159.94,-0.0366,1,benar
Copy of push up 116.mp4,54,right,174.9,146.5,159.88,-0.0366,1,benar
Copy of push up 116.mp4,55,right,174.86,146.57,159.93,-0.0365,1,benar
Copy of push up 116.mp4,56,right,174.87,146.69,160.0,-0.0363,1,benar
Copy of push up 116.mp4,57,right,174.87,146.64,159.93,-0.0363,1,benar
Copy of push up 116.mp4,58,right,174.84,146.66,159.96,-0.0363,1,benar
Copy of push up 116.mp4,59,right,174.83,146.84,160.17,-0.0362,1,benar
Copy of push up 116.mp4,60,right,174.86,146.79,160.07,-0.0362,1,benar
Copy of push up 116.mp4,61,right,174.85,146.82,160.04,-0.0361,1,benar
Copy of push up 116.mp4,62,right,174.85,146.8,160.05,-0.0362,1,benar
Copy of push up 116.mp4,63,right,174.79,146.75,160.01,-0.0362,1,benar
Copy of push up 116.mp4,64,right,174.77,146.86,160.19,-0.0362,1,benar
Copy of push up 116.mp4,65,right,174.92,146.88,160.09,-0.0361,1,benar
Copy of push up 116.mp4,66,right,174.86,146.61,159.96,-0.0364,1,benar
Copy of push up 116.mp4,67,right,174.87,146.86,160.35,-0.0364,1,benar
Copy of push up 116.mp4,68,right,174.88,146.77,160.14,-0.0363,1,benar
Copy of push up 116.mp4,69,right,174.85,146.78,160.1,-0.0363,1,benar
Copy of push up 116.mp4,70,right,174.86,146.74,160.11,-0.0363,1,benar
Copy of push up 116.mp4,71,right,174.84,146.75,160.04,-0.0362,1,benar
Copy of push up 116.mp4,72,right,174.78,146.9,160.11,-0.036,1,benar
Copy of push up 116.mp4,73,right,174.79,147.13,160.28,-0.0358,1,benar
Copy of push up 116.mp4,74,right,174.69,147.23,160.46,-0.0358,1,benar
Copy of push up 116.mp4,75,right,174.69,147.51,160.66,-0.0354,1,benar
Copy of push up 164.mp4,1,right,169.91,166.24,173.76,-0.0257,1,benar
Copy of push up 164.mp4,2,right,169.82,166.3,173.41,-0.0252,1,benar
Copy of push up 164.mp4,3,right,169.72,166.35,173.12,-0.0247,1,benar
Copy of push up 164.mp4,4,right,169.67,166.94,172.54,-0.0227,1,benar
Copy of push up 164.mp4,5,right,169.81,169.83,173.54,-0.0169,1,benar
Copy of push up 164.mp4,6,right,169.65,170.14,173.41,-0.016,1,benar
Copy of push up 164.mp4,7,right,169.56,170.38,172.75,-0.0146,1,benar
Copy of push up 164.mp4,8,right,169.62,170.55,172.64,-0.0141,1,benar
Copy of push up 164.mp4,9,right,169.44,170.72,172.57,-0.0136,1,benar
Copy of push up 164.mp4,10,right,168.97,170.19,172.46,-0.0147,1,benar
Copy of push up 164.mp4,11,right,168.36,170.16,172.36,-0.0144,1,benar
Copy of push up 164.mp4,12,right,167.15,171.81,173.05,-0.0111,1,benar
Copy of push up 164.mp4,13,right,165.61,174.07,173.68,-0.0065,1,benar
Copy of push up 164.mp4,14,right,163.82,173.97,172.58,-0.0054,1,benar
Copy of push up 164.mp4,15,right,161.98,174.67,172.67,-0.0038,1,benar
Copy of push up 164.mp4,16,right,159.41,175.74,172.54,-0.0012,1,benar
Copy of push up 164.mp4,17,right,155.32,176.47,172.09,0.001,1,benar
Copy of push up 164.mp4,18,right,151.5,179.33,173.97,0.0056,1,benar
Copy of push up 164.mp4,19,right,146.21,177.32,175.64,0.0108,1,benar
Copy of push up 164.mp4,20,right,141.66,175.68,176.36,0.0136,1,benar
Copy of push up 164.mp4,21,right,136.53,174.94,175.34,0.0164,1,benar
Copy of push up 164.mp4,22,right,130.94,175.54,173.44,0.0172,1,benar
Copy of push up 164.mp4,23,right,124.82,175.1,173.73,0.0178,1,benar
Copy of push up 164.mp4,24,right,119.7,176.27,173.01,0.0158,1,benar
Copy of push up 164.mp4,25,right,112.84,175.78,173.79,0.016,1,benar
Copy of push up 164.mp4,26,right,108.74,176.45,173.43,0.0148,1,benar
Copy of push up 164.mp4,27,right,103.3,175.57,175.05,0.0148,1,benar
Copy of push up 164.mp4,28,right,99.46,175.22,174.94,0.0157,1,benar
Copy of push up 164.mp4,29,right,93.98,176.69,173.16,0.0144,1,benar
Copy of push up 164.mp4,30,right,88.01,175.72,172.89,0.0167,1,benar
Copy of push up 164.mp4,31,right,81.13,177.11,171.46,0.0153,1,benar
Copy of push up 164.mp4,32,right,75.57,178.11,169.13,0.0156,1,benar
Copy of push up 164.mp4,33,right,68.39,178.39,168.53,0.0157,1,benar
Copy of push up 164.mp4,34,right,59.7,179.4,168.2,0.0136,1,benar
Copy of push up 164.mp4,35,right,54.25,179.22,167.21,0.0127,1,benar
Copy of push up 164.mp4,36,right,49.55,178.65,166.23,0.0124,1,benar
Copy of push up 164.mp4,37,right,48.38,178.12,165.32,0.0123,1,benar
Copy of push up 164.mp4,38,right,46.45,177.59,164.78,0.0117,1,benar
Copy of push up 164.mp4,39,right,45.79,177.59,164.61,0.0119,1,benar
Copy of push up 164.mp4,40,right,45.26,177.42,163.75,0.0125,1,benar
Copy of push up 164.mp4,41,right,45.08,177.35,163.77,0.0124,1,benar
Copy of push up 164.mp4,42,right,45.28,177.75,163.78,0.0133,1,benar
Copy of push up 164.mp4,43,right,45.26,177.57,163.82,0.0128,1,benar
Copy of push up 164.mp4,44,right,45.49,177.45,163.61,0.0128,1,benar
Copy of push up 164.mp4,45,right,45.51,177.47,163.64,0.0128,1,benar
Copy of push up 164.mp4,46,right,45.91,176.78,164.68,0.0101,1,benar
Copy of push up 164.mp4,47,right,48.59,175.84,164.28,0.0085,1,benar
Copy of push up 164.mp4,48,right,53.54,176.51,164.83,0.0093,1,benar
Copy of push up 164.mp4,49,right,61.2,179.08,166.64,0.0131,1,benar
Copy of push up 164.mp4,50,right,70.64,178.38,168.59,0.0161,1,benar
Copy of push up 164.mp4,51,right,78.2,178.72,169.65,0.0141,1,benar
Copy of push up 164.mp4,52,right,84.8,178.48,170.45,0.0138,1,benar
Copy of push up 164.mp4,53,right,92.17,179.48,169.92,0.0117,1,benar
Copy of push up 164.mp4,54,right,100.66,179.11,168.42,0.0112,1,benar
Copy of push up 164.mp4,55,right,106.29,177.13,167.48,0.0076,1,benar
Copy of push up 164.mp4,56,right,113.06,177.68,167.32,0.0092,1,benar
Copy of push up 164.mp4,57,right,119.89,176.91,167.97,0.0067,1,benar
Copy of push up 164.mp4,58,right,126.31,175.25,167.01,0.004,1,benar
Copy of push up 164.mp4,59,right,131.87,175.68,167.36,0.0046,1,benar
Copy of push up 164.mp4,60,right,136.35,176.2,168.3,0.0047,1,benar
Copy of push up 164.mp4,61,right,139.71,175.24,168.37,0.0023,1,benar
Copy of push up 164.mp4,62,right,144.76,174.27,168.6,-0.0002,1,benar
Copy of push up 164.mp4,63,right,148.89,173.89,169.48,-0.002,1,benar
Copy of push up 164.mp4,64,right,152.25,170.59,167.71,-0.0076,1,benar
Copy of push up 164.mp4,65,right,156.62,169.57,169.27,-0.0116,1,benar
Copy of push up 164.mp4,66,right,160.53,168.14,168.65,-0.0144,1,benar
Copy of push up 164.mp4,67,right,164.28,168.32,168.75,-0.0141,1,benar
Copy of push up 164.mp4,68,right,167.05,168.17,168.61,-0.0146,1,benar
Copy of push up 164.mp4,69,right,169.01,168.02,169.33,-0.0159,1,benar
Copy of push up 164.mp4,70,right,170.23,168.63,169.92,-0.0154,1,benar
Copy of push up 164.mp4,71,right,170.87,168.76,170.47,-0.0159,1,benar
Copy of push up 164.mp4,72,right,170.77,168.26,171.34,-0.0181,1,benar
Copy of push up 164.mp4,73,right,170.87,168.72,171.79,-0.0175,1,benar
Copy of push up 164.mp4,74,right,170.78,168.16,171.58,-0.0186,1,benar
Copy of push up 164.mp4,75,right,170.7,168.34,171.34,-0.0179,1,benar
Copy of push up 164.mp4,76,right,170.8,169.18,171.51,-0.0162,1,benar
Copy of push up 164.mp4,77,right,170.69,169.42,171.5,-0.0156,1,benar
Copy of push up 164.mp4,78,right,170.62,169.52,171.42,-0.0152,1,benar
Copy of push up 164.mp4,79,right,170.01,170.25,172.08,-0.0142,1,benar
Copy of push up 164.mp4,80,right,169.86,170.15,172.18,-0.0145,1,benar
Copy of push up 164.mp4,81,right,169.88,170.01,172.07,-0.0147,1,benar
Copy of push up 164.mp4,82,right,169.87,169.99,172.04,-0.0147,1,benar
Copy of push up 164.mp4,83,right,169.89,170.05,171.97,-0.0145,1,benar
Copy of push up 164.mp4,84,right,169.9,170.08,171.86,-0.0143,1,benar
Copy of push up 164.mp4,85,right,169.93,170.16,171.81,-0.014,1,benar
Copy of push up 164.mp4,86,right,169.94,170.16,171.7,-0.0139,1,benar
Copy of push up 164.mp4,87,right,169.96,170.18,171.71,-0.0139,1,benar
Copy of push up 164.mp4,88,right,169.96,170.18,171.68,-0.0139,1,benar
Copy of push up 164.mp4,89,right,169.95,170.2,171.64,-0.0138,1,benar
Copy of push up 164.mp4,90,right,169.94,170.18,171.61,-0.0138,1,benar
Copy of push up 164.mp4,91,right,169.93,170.16,171.57,-0.0138,1,benar
Copy of push up 164.mp4,92,right,169.93,170.1,171.5,-0.0138,1,benar
Copy of push up 164.mp4,93,right,169.92,170.14,171.53,-0.0138,1,benar
Copy of push up 164.mp4,94,right,169.93,170.12,171.52,-0.0138,1,benar
Copy of push up 164.mp4,95,right,169.92,170.06,171.41,-0.0138,1,benar
Copy of push up 164.mp4,96,right,169.9,170.06,171.42,-0.0138,1,benar
Copy of push up 164.mp4,97,right,169.88,170.17,171.47,-0.0136,1,benar
Copy of push up 164.mp4,98,right,169.88,170.13,171.42,-0.0136,1,benar
Copy of push up 164.mp4,99,right,169.88,170.11,171.38,-0.0136,1,benar
Copy of push up 164.mp4,100,right,169.89,170.11,171.38,-0.0136,1,benar
Copy of push up 164.mp4,101,right,169.89,170.1,171.36,-0.0136,1,benar
Copy of push up 164.mp4,102,right,169.89,170.08,171.32,-0.0136,1,benar
Copy of push up 164.mp4,103,right,169.89,170.08,171.33,-0.0137,1,benar
Copy of push up 164.mp4,104,right,169.89,170.07,171.31,-0.0136,1,benar
Copy of push up 164.mp4,105,right,169.89,170.07,171.29,-0.0136,1,benar
Copy of push up 164.mp4,106,right,169.89,170.05,171.28,-0.0137,1,benar
Copy of push up 164.mp4,107,right,169.89,170.04,171.25,-0.0137,1,benar
Copy of push up 164.mp4,108,right,169.88,170.13,171.3,-0.0135,1,benar
Copy of push up 164.mp4,109,right,169.89,170.15,171.28,-0.0134,1,benar
Copy of push up 164.mp4,110,right,169.87,170.12,171.2,-0.0134,1,benar
Copy of push up 164.mp4,111,right,169.85,170.19,171.27,-0.0133,1,benar
Copy of push up 164.mp4,112,right,169.82,170.28,171.4,-0.0133,1,benar
Copy of push up 164.mp4,113,right,169.81,170.21,171.4,-0.0134,1,benar
Copy of push up 164.mp4,114,right,169.78,170.41,171.53,-0.0131,1,benar
Copy of push up 164.mp4,115,right,169.78,170.43,171.52,-0.013,1,benar
Copy of push up 129.mp4,1,right,176.66,159.85,164.2,-0.0356,1,benar
Copy of push up 129.mp4,2,right,175.52,160.86,164.73,-0.0339,1,benar
Copy of push up 129.mp4,3,right,175.1,161.42,164.13,-0.0317,1,benar
Copy of push up 129.mp4,4,right,174.87,164.84,164.85,-0.023,1,benar
Copy of push up 129.mp4,5,right,174.64,165.1,165.23,-0.0229,1,benar
Copy of push up 129.mp4,6,right,174.59,165.67,165.07,-0.0212,1,benar
Copy of push up 129.mp4,7,right,174.18,165.81,165.62,-0.0216,1,benar
Copy of push up 129.mp4,8,right,173.89,166.07,165.81,-0.0212,1,benar
Copy of push up 129.mp4,9,right,173.24,166.74,166.33,-0.02,1,benar
Copy of push up 129.mp4,10,right,173.01,166.83,166.38,-0.0198,1,benar
Copy of push up 129.mp4,11,right,172.8,167.11,166.26,-0.019,1,benar
Copy of push up 129.mp4,12,right,171.64,167.99,166.46,-0.0166,1,benar
Copy of push up 129.mp4,13,right,168.85,168.53,165.86,-0.0142,1,benar
Copy of push up 129.mp4,14,right,167.24,170.27,166.62,-0.0101,1,benar
Copy of push up 129.mp4,15,right,165.79,170.62,167.0,-0.0095,1,benar
Copy of push up 129.mp4,16,right,162.12,172.98,168.36,-0.0043,1,benar
Copy of push up 129.mp4,17,right,158.62,174.34,169.95,-0.0025,1,benar
Copy of push up 129.mp4,18,right,154.53,173.35,169.72,-0.0048,1,benar
Copy of push up 129.mp4,19,right,149.76,176.81,171.99,0.0019,1,benar
Copy of push up 129.mp4,20,right,144.08,179.52,172.36,0.0094,1,benar
Copy of push up 129.mp4,21,right,136.36,179.62,171.65,0.0108,1,benar
Copy of push up 129.mp4,22,right,129.16,179.46,169.75,0.0139,1,benar
Copy of push up 129.mp4,23,right,121.94,179.28,165.99,0.0154,1,benar
Copy of push up 129.mp4,24,right,112.61,177.38,165.73,0.0239,1,benar
Copy of push up 129.mp4,25,right,105.06,175.75,164.35,0.0293,1,benar
Copy of push up 129.mp4,26,right,96.65,174.14,162.41,0.0353,1,benar
Copy of push up 129.mp4,27,right,91.12,170.47,165.12,0.0413,1,benar
Copy of push up 129.mp4,28,right,82.17,171.16,166.58,0.0378,1,benar
Copy of push up 129.mp4,29,right,73.46,173.17,164.66,0.035,1,benar
Copy of push up 129.mp4,30,right,64.71,177.88,164.41,0.0234,1,benar
Copy of push up 129.mp4,31,right,60.26,179.45,165.41,0.0163,1,benar
Copy of push up 129.mp4,32,right,57.62,178.62,165.5,0.014,1,benar
Copy of push up 129.mp4,33,right,56.44,178.61,165.47,0.014,1,benar
Copy of push up 129.mp4,34,right,56.12,179.56,166.78,0.0151,1,benar
Copy of push up 129.mp4,35,right,54.43,179.32,167.36,0.0135,1,benar
Copy of push up 129.mp4,36,right,53.76,177.98,166.46,0.0111,1,benar
Copy of push up 129.mp4,37,right,53.07,178.92,167.59,0.0122,1,benar
Copy of push up 129.mp4,38,right,52.53,179.23,167.8,0.0128,1,benar
Copy of push up 129.mp4,39,right,52.65,179.4,166.94,0.0143,1,benar
Copy of push up 129.mp4,40,right,52.57,179.42,166.06,0.0154,1,benar
Copy of push up 129.mp4,41,right,52.75,179.53,165.77,0.0161,1,benar
Copy of push up 129.mp4,42,right,52.82,179.43,165.11,0.0164,1,benar
Copy of push up 129.mp4,43,right,52.77,179.6,165.32,0.0169,1,benar
Copy of push up 129.mp4,44,right,52.58,179.23,164.68,0.0162,1,benar
Copy of push up 129.mp4,45,right,52.36,179.36,164.81,0.0164,1,benar
Copy of push up 129.mp4,46,right,52.55,179.47,164.68,0.0169,1,benar
Copy of push up 129.mp4,47,right,52.61,179.6,164.5,0.0178,1,benar
Copy of push up 129.mp4,48,right,52.63,179.48,163.62,0.0181,1,benar
Copy of push up 129.mp4,49,right,52.57,179.51,163.9,0.018,1,benar
Copy of push up 129.mp4,50,right,52.21,179.05,162.99,0.0177,1,benar
Copy of push up 129.mp4,51,right,52.28,178.89,163.4,0.0169,1,benar
Copy of push up 129.mp4,52,right,52.79,177.76,163.23,0.0143,1,benar
Copy of push up 129.mp4,53,right,55.42,177.68,163.93,0.0135,1,benar
Copy of push up 129.mp4,54,right,59.66,177.89,164.95,0.0128,1,benar
Copy of push up 129.mp4,55,right,67.86,177.17,163.84,0.0122,1,benar
Copy of push up 129.mp4,56,right,77.9,174.58,164.38,0.0052,1,benar
Copy of push up 129.mp4,57,right,90.2,174.42,166.78,0.002,1,benar
Copy of push up 129.mp4,58,right,99.72,172.78,168.54,-0.0043,1,benar
Copy of push up 129.mp4,59,right,100.75,173.62,170.27,-0.0043,1,benar
Copy of push up 129.mp4,60,right,110.8,170.12,168.42,-0.0109,1,benar
Copy of push up 129.mp4,61,right,123.9,165.73,164.69,-0.0182,1,benar
Copy of push up 129.mp4,62,right,133.68,166.92,165.53,-0.0169,1,benar
Copy of push up 129.mp4,63,right,144.06,167.77,165.77,-0.0154,1,benar
Copy of push up 129.mp4,64,right,152.34,168.75,166.43,-0.0137,1,benar
Copy of push up 129.mp4,65,right,161.24,170.15,164.89,-0.0079,1,benar
Copy of push up 129.mp4,66,right,168.51,171.02,165.21,-0.0056,1,benar
Copy of push up 129.mp4,67,right,173.44,169.48,166.27,-0.0118,1,benar
Copy of push up 129.mp4,68,right,173.89,168.3,164.01,-0.0122,1,benar
Copy of push up 129.mp4,69,right,174.09,167.56,163.68,-0.014,1,benar
Copy of push up 129.mp4,70,right,174.22,166.87,163.53,-0.0159,1,benar
Copy of push up 129.mp4,71,right,174.89,168.01,165.17,-0.015,1,benar
Copy of push up 129.mp4,72,right,175.23,168.0,165.18,-0.0149,1,benar
Copy of push up 129.mp4,73,right,175.48,168.44,164.2,-0.0122,1,benar
Copy of push up 129.mp4,74,right,175.26,166.05,162.89,-0.0175,1,benar
